name,address,distance,rating,price
UMusic Hotel Madrid,NOT GIVEN,NOT GIVEN,NOT GIVEN,NOT GIVEN
Fuencarral Adeco,NOT GIVEN,NOT GIVEN,NOT GIVEN,NOT GIVEN
Ok Hostel Madrid,NOT GIVEN,NOT GIVEN,NOT GIVEN,NOT GIVEN
Akeah Hotel Gran Vía,NOT GIVEN,NOT GIVEN,NOT GIVEN,NOT GIVEN
Hotel Pinar Plaza,NOT GIVEN,NOT GIVEN,NOT GIVEN,NOT GIVEN
SmartRental Collection Gran Vía Capital,NOT GIVEN,NOT GIVEN,NOT GIVEN,NOT GIVEN
Axel Hotel Madrid - Adults Only,NOT GIVEN,NOT GIVEN,NOT GIVEN,NOT GIVEN
Hostal Prada,NOT GIVEN,NOT GIVEN,NOT GIVEN,NOT GIVEN
Smartr Atocha Reina Sofia,NOT GIVEN,NOT GIVEN,NOT GIVEN,NOT GIVEN
Hostal Inn Madrid,NOT GIVEN,NOT GIVEN,NOT GIVEN,NOT GIVEN
Ayala 63 - THE ARC COLLECTION,NOT GIVEN,NOT GIVEN,NOT GIVEN,NOT GIVEN
Axor Feria,NOT GIVEN,NOT GIVEN,NOT GIVEN,NOT GIVEN
Hostal Milan,NOT GIVEN,NOT GIVEN,NOT GIVEN,NOT GIVEN
Axor Barajas,NOT GIVEN,NOT GIVEN,NOT GIVEN,NOT GIVEN
Arenal Suites Preciados,NOT GIVEN,NOT GIVEN,NOT GIVEN,NOT GIVEN
Riu Plaza España,NOT GIVEN,NOT GIVEN,NOT GIVEN,NOT GIVEN
Letoh Letoh Gran Vía,NOT GIVEN,NOT GIVEN,NOT GIVEN,NOT GIVEN
Fee4Me Marques Vintage Apartment,NOT GIVEN,NOT GIVEN,NOT GIVEN,NOT GIVEN
Claridge Madrid,NOT GIVEN,NOT GIVEN,NOT GIVEN,NOT GIVEN
SmartRental Collection Centric II,NOT GIVEN,NOT GIVEN,NOT GIVEN,NOT GIVEN
Arenal Suites Gran Vía,NOT GIVEN,NOT GIVEN,NOT GIVEN,NOT GIVEN
Inhome,NOT GIVEN,NOT GIVEN,NOT GIVEN,NOT GIVEN
"Exclusive quietness in the heart of Madrid with Public Parking, Breakfast, 2 bathrooms",NOT GIVEN,NOT GIVEN,NOT GIVEN,NOT GIVEN
Hyatt Centric Gran Via Madrid,NOT GIVEN,NOT GIVEN,NOT GIVEN,NOT GIVEN
TX Matadero,NOT GIVEN,NOT GIVEN,NOT GIVEN,NOT GIVEN
